motif_id,instance_idx,start,end,length,distance,meta_waterzumpf_cv,meta_ore_cv,meta_watermill_cv,meta_pattern_type
9,4,262438,262498,60,2.5481937584402106,,,,
9,5,160899,160959,60,2.554997911199956,,,,
9,6,252686,252746,60,2.6299716519048117,,,,
9,7,28320,28380,60,2.7032769920558164,,,,
9,8,262180,262240,60,2.7485460356217275,,,,
9,9,137845,137905,60,2.770363942520469,,,,
9,10,202536,202596,60,2.854091172354682,,,,
9,11,262766,262826,60,3.0227159149758296,,,,
9,12,266890,266950,60,3.0468440003847728,,,,
9,13,33229,33289,60,3.086848451949951,,,,
9,14,260566,260626,60,3.114506233058246,,,,
9,15,9039,9099,60,3.153626591656757,,,,
9,16,67732,67792,60,3.1946434072056,,,,
9,17,146669,146729,60,3.2165657003913037,,,,
9,18,36839,36899,60,3.2724041364592775,,,,
9,19,252412,252472,60,3.327362523642292,,,,
9,20,15560,15620,60,3.331569382737776,,,,
9,21,39293,39353,60,3.346483230438469,,,,
9,22,7021,7081,60,3.376626648681353,,,,
9,23,199096,199156,60,3.4087820413294785,,,,
9,24,127156,127216,60,3.4112579549596957,,,,
9,25,212411,212471,60,3.4391564486094497,,,,
9,26,6920,6980,60,3.442807494813326,,,,
9,27,24070,24130,60,3.458272422693518,,,,
9,28,77866,77926,60,3.4777795585708597,,,,
9,29,200263,200323,60,3.480915833523123,,,,
9,30,240464,240524,60,3.5079238545467497,,,,
9,31,269228,269288,60,3.5204971460881085,,,,
9,32,178206,178266,60,3.5757337962852764,,,,
9,33,269370,269430,60,3.594026166737434,,,,
9,34,268126,268186,60,3.673465306604489,,,,
